114,IN9043A01010,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
115,IN9043A01028,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
116,IN9043A01036,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
117,IN9043A01044,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
118,IN9043A01051,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
119,IN9043A01069,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
120,IN9043A01077,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
121,IN9043A01085,GTL INACTIVE,GTL LIMITED,Equity Shares,Deleted
122,IN9043A01093,GTL EQ PRODIV APR99,GTL LIMITED,Equity Shares,Deleted
123,IN9043A01101,GTL EQ PRODIV 210499,GTL LIMITED,Equity Shares,Deleted
124,IN9043A01119,GTL EQ PRODIV 180599,GTL LIMITED,Equity Shares,Deleted
125,IN9043A01127,GTL EQ PRODIV 150699,GTL LIMITED,Equity Shares,Deleted
126,IN9043A01135,GTL EQ PRODIV 290799,GTL LIMITED,Equity Shares,Deleted
127,IN9043A01143,GTL EQ PRODIV 060999,GTL LIMITED,Equity Shares,Deleted
128,IN9043A01150,GTL EQ PRODIV 290999,GTL LIMITED,Equity Shares,Deleted
129,IN9043A01168,GTL EQ PRODIV 121199,GTL LIMITED,Equity Shares,Deleted
130,IN9043A01176,GTL EQ PRODIV 180100,GTL LIMITED,Equity Shares,Deleted
131,IN9043A01184,GTL EQ PRODIV 170200,GTL LIMITED,Equity Shares,Deleted
132,IN9043A01192,GTL EQ PRODIV 280300,GTL LIMITED,Equity Shares,Deleted
133,IN9043A01200,GTL EQ PRODIV 301101,GTL LIMITED,Equity Shares,Deleted
134,IN9044O01019,KOOTOL SOFTWARE LIMITED EQ PP RE.0.10/-,KOOTOL SOFTWARE LIMITED,EQUITY SHARES,ACTIVE
135,IN9048G01016,NAVIN FLUORINE INTERNATIONAL LTD EQ PP RS.5,NAVIN FLUORINE INTERNATIONAL LTD,EQUITY SHARES,DELETED
136,IN9048G01024,NAVIN FLUORINE INTERNATIONAL LTD EQ NEW PP RE.1/-,NAVIN FLUORINE INTERNATIONAL LTD,EQUITY SHARES,ACTIVE
137,IN904KT01019,RUPA RENAISSANCE LIMITED EQ PP RE. 1,RUPA RENAISSANCE LIMITED,EQUITY SHARES,ACTIVE
138,IN904SL01019,DIGIVATION DIGITAL SOLUTIONS PRIVATE LIMITED EQ PP RE 0.5,DIGIVATION DIGITAL SOLUTIONS PRIVATE LIMITED,EQUITY SHARES,ACTIVE
139,IN904TD01014,SHIGAN EVOLTZ LIMITED EQ PP RS 4,SHIGAN EVOLTZ LIMITED,EQUITY SHARES,ACTIVE
140,IN904V501019,KSHEMAVILASAM KURI COMPANY LTD EQ PP RS.1320 CLASS A,KSHEMAVILASAM KURI COMPANY LTD,EQUITY SHARES,ACTIVE
141,IN904V501027,KSHEMAVILASAM KURI COMPANY LTD EQ PP RS.25080 CLASS B,KSHEMAVILASAM KURI COMPANY LTD,EQUITY SHARES,ACTIVE
142,IN904X901019,MIRZA CHARITABLE HOSPITAL LIMITED EQ PP RS. 5,MIRZA CHARITABLE HOSPITAL LIMITED,EQUITY SHARES,ACTIVE
143,IN9050B01013,IL&amp;FS INVESTMENT MANAGERS LTD EQ PRODIV 141100,IL&amp;FS INVESTMENT MANAGERS LTD,Equity Shares,Deleted
144,IN9052B01019,BEEYU OVERSEAS LIMITED EQ PP RS.5/-,BEEYU OVERSEAS LIMITED,EQUITY SHARES,ACTIVE
145,IN9052C01017,IKF TECHNOLOGIES LIMITED PP PRODIV 120301,IKF TECHNOLOGIES LIMITED,EQUITY SHARES,BLOCKED DUE TO ACA
146,IN9054U01015,STERLING URBAN INFRAPROJECTS PRIVATE LIMITED EQ PP RS. 4/-,STERLING URBAN INFRAPROJECTS PRIVATE LIMITED,EQUITY SHARES,DELETED
147,IN9055A01014,CENTURY TEXTILE INACTIVE-BONUS,CENTURY TEXTILES AND INDUSTRIES LIMITED,Equity Shares,Deleted
148,IN9059A01016,CIPLA EQ PRODIV 101299,CIPLA LIMITED,Equity Shares,Deleted
149,IN905DI01014,ATC LIMITED EQ PP RS. 70,ATC LIMITED,EQUITY SHARES,ACTIVE
150,IN905IA03016,WORKCELL SOLUTIONS PRIVATE LIMITED 0.01% SERIES A1 PP PREF 20NV39,WORKCELL SOLUTIONS PRIVATE LIMITED,PREFERENCE SHARES,ACTIVE
151,IN905KX01018,GARWARE HOLDINGS LIMITED EQ PP RE 1/-,GARWARE HOLDINGS LIMITED,EQUITY SHARES,ACTIVE
152,IN905WR01015,SHAKAMBHARI ISPAT &amp; POWER LIMITED EQ PP RS.7.5/-,SHAKAMBHARI ISPAT &amp; POWER LIMITED,EQUITY SHARES,ACTIVE
153,IN9067A01019,CROMPTON GREAVE EQ PRODIV011299,CROMPTON GREAVES LIMITED,Equity Shares,Deleted
154,IN9067B01017,ORIENT INF TECH EQ PRODIV 271299,ORIENT INFORMATION TECHNOLOGY LTD.,Equity Shares,Deleted
155,IN9069601015,OILMAX ENERGY PRIVATE LIMITED EQ PP RS 9,OILMAX ENERGY PRIVATE LIMITED,EQUITY SHARES,ACTIVE
156,IN9069I01018,INDIABULLS REAL ESTATE LIMITED EQ PP RE.0.50 /-,INDIABULLS REAL ESTATE LIMITED,EQUITY SHARES,ACTIVE
157,IN9069I01026,INDIABULLS REAL ESTATE LIMITED EQ PP RE. 0.515/-,INDIABULLS REAL ESTATE LIMITED,EQUITY SHARES,ACTIVE
158,IN906CC01017,KSL MEDIA LIMITED EQ PP RS 50,KSL MEDIA LIMITED,EQUITY SHARES,ACTIVE
159,IN906D601017,BAJAJ LEASING AND FINANCE LIMITED EQ PP RS 5/-,BAJAJ LEASING AND FINANCE LIMITED,EQUITY SHARES,ACTIVE
160,IN906E503014,HELLA INFRA MARKET PRIVATE  LIMITED 0.01% SERIES A1 PARTLY PAID PREF 19JU39,HELLA INFRA MARKET PRIVATE  LIMITED,PREFERENCE SHARES,ACTIVE
161,IN906E503022,HELLA INFRA MARKET PRIVATE  LIMITED 0.01% SERIES A1 PARTLY PAID PREF 20JL39,HELLA INFRA MARKET PRIVATE  LIMITED,PREFERENCE SHARES,ACTIVE
162,IN906E503030,HELLA INFRA MARKET PRIVATE  LIMITED 0.01% SERIES A1 PARTLY PAID PREF 10SP39,HELLA INFRA MARKET PRIVATE  LIMITED,PREFERENCE SHARES,ACTIVE
