ISIN,NAME
"INF200K01SA8","SBI Magnum Comma IDCW Payout Direct Plan"
"INF200K01SA8","SBI Magnum Comma IDCW Reinvest Direct Plan"
"INF200K01SB6","SBI Magnum Comma Growth Direct Plan"
"INF200K01SM3","SBI Magnum Global IDCW Payout Direct Plan"
"INF200K01SM3","SBI Magnum Global IDCW Reinvest Direct Plan"
"INF200K01SN1","SBI Magnum Global Growth Direct Plan"
"INF200K01UO5","SBI Healthcare Opportunities IDCW Payout Direct Plan"
"INF200K01UO5","SBI Healthcare Opportunities IDCW Reinvest Direct Plan"
"INF200K01UP2","SBI Healthcare Opportunities Growth Direct Plan"
"INF200K01UX6","SBI PSU IDCW Payout Direct Plan"
"INF200K01UX6","SBI PSU IDCW Reinvest Direct Plan"
"INF200K01UY4","SBI PSU Growth Direct Plan"
"INF200KA1507","SBI Banking & Financial Services Growth Direct Plan"
"INF200KA1523","SBI Banking & Financial Services IDCW Reinvest Direct Plan"
"INF200KA1523","SBI Banking & Financial Services IDCW Payout Direct Plan"
"INF200KA1A97","SBI Equity Minimum Variance IDCW Payout Direct Plan"
"INF200KA1A71","SBI Equity Minimum Variance Growth Direct Plan"
"INF200KA1A97","SBI Equity Minimum Variance IDCW Reinvest Direct Plan"
"INF204K01D22","Nippon India Banking Bonus Bonus Growth Direct Plan"
"INF204K01G29","Nippon India Consumption Bonus Bonus Growth Direct Plan"
"INF204K01G37","Nippon India Consumption IDCW Payout Direct Plan"
"INF204K01G45","Nippon India Consumption IDCW Reinvest Direct Plan"
"INF204K01G52","Nippon India Consumption Growth Direct Plan"
"INF204K01I27","Nippon India Pharma Bonus Direct Plan"
"INF204K01I35","Nippon India Pharma IDCW Payout Direct Plan"
"INF204K01I43","Nippon India Pharma IDCW Reinvest Direct Plan"
"INF204K01I50","Nippon India Pharma Growth Direct Plan"
"INF204K01I68","Nippon India Power & Infra Bonus Bonus Growth Direct Plan"
"INF204K01I76","Nippon India Power & Infra IDCW Payout Direct Plan"
